 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27: 3
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  87  -258.0000       9.539 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  88  -261.0000      12.482 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  89  -264.0000      15.426 0.3713   0.4346E+02  0.0000E+00 -0.8113E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8833E-03  0.1060E+00
  90  -267.0000      18.370 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  91  -270.0000      21.313 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  92  -273.0000      24.257 0.3713   0.4346E+02  0.0000E+00 -0.8113E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8833E-03  0.1060E+00
  93  -276.0000      27.201 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  94  -279.0000      30.144 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  95  -282.0000      33.088 0.3713   0.4346E+02  0.0000E+00 -0.8113E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8833E-03  0.1060E+00
  96  -285.0000      36.032 0.3713   0.4346E+02  0.0000E+00 -0.8186E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  97  -288.0000      38.975 0.3713   0.4346E+02  0.0000E+00 -0.8186E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  98  -291.0000      41.919 0.3713   0.4346E+02  0.0000E+00 -0.8113E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8833E-03  0.1060E+00
  99  -294.0000      44.863 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8823E-03  0.1059E+00
 100  -297.0000      47.806 0.3713   0.4346E+02  0.0000E+00 -0.8185E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8799E-03  0.1056E+00
 101  -300.0000      50.750 0.3713   0.4346E+02  0.0000E+00 -0.8113E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8799E-03  0.1054E+00
end


 Time:        1.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -207.817 0.2837   0.1157E+01  0.3721E-03  0.1716E-01  0.0000E+00      -1   0.395E-03   20.00  0.8366E-03  0.1004E+00
   2    -3.0000    -204.826 0.2848   0.1192E+01  0.3757E-03 -0.2402E-01  0.0000E+00      -1  -0.553E-03   20.00  0.8525E-03  0.1023E+00
   3    -6.0000    -201.936 0.2859   0.1225E+01  0.3792E-03 -0.6423E-01  0.0000E+00      -1  -0.148E-02   20.00  0.8649E-03  0.1038E+00
   4    -9.0000    -199.139 0.2869   0.1258E+01  0.3826E-03 -0.1019E+00  0.9176E-03      -1  -0.234E-02   20.00  0.8733E-03  0.1048E+00
   5   -12.0000    -196.421 0.2878   0.1289E+01  0.3859E-03 -0.1367E+00  0.9182E-03      -1  -0.315E-02   20.00  0.8790E-03  0.1055E+00
   6   -15.0000    -193.775 0.2888   0.1319E+01  0.3891E-03 -0.1701E+00  0.9187E-03      -1  -0.391E-02   20.00  0.8817E-03  0.1058E+00
   7   -18.0000    -191.193 0.2898   0.1356E+01  0.3923E-03 -0.2045E+00  0.9192E-03      -1  -0.470E-02   20.00  0.8832E-03  0.1060E+00
   8   -21.0000    -188.676 0.2908   0.1412E+01  0.3956E-03 -0.2398E+00  0.9197E-03      -1  -0.552E-02   20.00  0.8834E-03  0.1060E+00
   9   -24.0000    -186.211 0.2918   0.1467E+01  0.3988E-03 -0.2734E+00  0.9106E-03      -1  -0.629E-02   20.00  0.8833E-03  0.1060E+00
  10   -27.0000    -183.793 0.2929   0.1521E+01  0.4019E-03 -0.3052E+00  0.8631E-03      -1  -0.702E-02   20.00  0.8833E-03  0.1060E+00
  11   -30.0000    -181.415 0.2938   0.1574E+01  0.4050E-03 -0.3356E+00  0.8155E-03      -1  -0.772E-02   20.00  0.8833E-03  0.1060E+00
  12   -33.0000    -179.072 0.2948   0.1626E+01  0.4081E-03 -0.3644E+00  0.7679E-03      -1  -0.839E-02   20.00  0.8833E-03  0.1060E+00
  13   -36.0000    -176.760 0.2958   0.1677E+01  0.4111E-03 -0.3919E+00  0.7202E-03      -1  -0.902E-02   20.00  0.8833E-03  0.1060E+00
  14   -39.0000    -174.474 0.2967   0.1728E+01  0.4141E-03 -0.4181E+00  0.6725E-03      -1  -0.962E-02   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -172.211 0.2977   0.1779E+01  0.4170E-03 -0.4431E+00  0.6247E-03      -1  -0.102E-01   20.00  0.8833E-03  0.1060E+00
  16   -45.0000    -169.969 0.2986   0.1829E+01  0.4199E-03 -0.4670E+00  0.5768E-03      -1  -0.107E-01   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -167.743 0.2996   0.1878E+01  0.4228E-03 -0.4898E+00  0.5290E-03      -1  -0.113E-01   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -165.533 0.3005   0.1928E+01  0.4257E-03 -0.5117E+00  0.4810E-03      -1  -0.118E-01   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -163.336 0.3014   0.1977E+01  0.4285E-03 -0.5327E+00  0.4331E-03      -1  -0.123E-01   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -161.150 0.3023   0.2025E+01  0.4314E-03 -0.5528E+00  0.3851E-03      -1  -0.127E-01   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -158.974 0.3032   0.2074E+01  0.4342E-03 -0.5721E+00  0.3371E-03      -1  -0.132E-01   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -156.805 0.3041   0.2122E+01  0.4370E-03 -0.5908E+00  0.2890E-03      -1  -0.136E-01   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -154.644 0.3050   0.2170E+01  0.4399E-03 -0.6087E+00  0.2409E-03      -1  -0.140E-01   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -152.488 0.3059   0.2218E+01  0.4427E-03 -0.6261E+00  0.1928E-03      -1  -0.144E-01   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -150.332 0.3069   0.2295E+01  0.4452E-03 -0.6438E+00  0.1446E-03      -1  -0.148E-01   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -148.170 0.3079   0.2382E+01  0.4477E-03 -0.6619E+00  0.9645E-04      -1  -0.152E-01   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -146.000 0.3089   0.2468E+01  0.4502E-03 -0.6794E+00  0.4824E-04      -1  -0.156E-01   20.00  0.8833E-03  0.1060E+00
