Fast first order indexes
                    	                ZRTC	                ZSTC	                ZLFC	                ZERC	                ZART	                ZAST	                ZALF	                ZAER	               TZDMI	               TZDMX	                SUMZ	              SUMTZA	
             MXZSTT5	            0.519957	            0.054759	            0.544089	            0.048308	            0.519957	            0.054759	            0.544089	            0.048308	                   0	            0.753225	            0.015980	            0.055760	
             MXZSTT6	            0.591588	            0.920604	            0.566798	            0.339624	            0.591588	            0.920604	            0.566798	            0.339624	                   0	            0.321702	            0.015949	            0.738955	
             MXZLFT1	            0.260237	            0.084826	            0.504135	            0.158336	            0.260237	            0.084826	            0.504135	            0.158336	                   0	            0.580272	            0.015974	            0.202873	
             MXZLFT2	            0.561650	            0.211388	            0.665839	            0.180083	            0.561650	            0.211388	            0.665839	            0.180083	                   0	            0.380747	            0.015968	            0.412807	
             MXZLFT3	            0.665931	            0.147141	            0.596258	            0.136441	            0.665931	            0.147141	            0.596258	            0.136441	                   0	            0.517892	            0.015956	            0.418175	
             MXZLFT4	            0.198721	            0.146406	            0.494882	            0.111455	            0.198721	            0.146406	            0.494882	            0.111455	                   0	            0.512134	            0.015964	            0.117351	
             MXZLFT5	            0.481614	            0.128884	            0.810499	            0.064253	            0.481614	            0.128884	            0.810499	            0.064253	                   0	            0.635897	            0.015979	            0.129619	
             MXZLFT6	            0.364758	            0.133925	            0.752278	            0.090785	            0.364758	            0.133925	            0.752278	            0.090785	                   0	            0.536389	            0.015999	            0.138009	
             MXZERT1	            0.507743	            0.193497	            0.697935	            0.259176	            0.507743	            0.193497	            0.697935	            0.259176	                   0	            0.394284	            0.015954	            0.270536	
             MXZERT2	            0.298770	            0.104163	            0.608622	            0.340328	            0.298770	            0.104163	            0.608622	            0.340328	                   0	            0.467201	            0.015995	            0.345048	
             MXZERT3	            0.346062	            0.070230	            0.705835	            0.236144	            0.346062	            0.070230	            0.705835	            0.236144	                   0	            0.538671	            0.015995	            0.370890	
             MXZERT4	            0.431638	            0.321205	            0.630336	            0.074725	            0.431638	            0.321205	            0.630336	            0.074725	                   0	            0.425580	            0.015999	            0.269631	
             MXZERT5	            0.757189	            0.235928	            0.743699	            0.119218	            0.757189	            0.235928	            0.743699	            0.119218	            0.890411	            0.553585	            0.015992	            0.231941	
             MXZERT6	            0.646113	            0.274229	            0.631796	            0.755275	            0.646113	            0.274229	            0.631796	            0.755275	                   0	            0.515587	            0.015949	            0.611049	
               FRTT1	            0.337930	            0.261578	            0.661342	            0.095239	            0.337930	            0.261578	            0.661342	            0.095239	                   0	            0.455692	            0.015955	            0.411702	
               FRTT2	            0.397711	            0.330199	            0.718850	            0.215122	            0.397711	            0.330199	            0.718850	            0.215122	                   0	            0.451313	            0.015994	            0.322755	
               FRTT3	            0.830311	            0.113544	            0.617810	            0.193999	            0.830311	            0.113544	            0.617810	            0.193999	                   0	            0.444002	            0.015980	            0.483249	
               FRTT4	            0.343733	            0.115242	            0.645433	            0.215363	            0.343733	            0.115242	            0.645433	            0.215363	                   0	            0.458153	            0.015948	            0.318409	
               FRTT5	            0.395989	            0.252218	            0.793986	            0.113354	            0.395989	            0.252218	            0.793986	            0.113354	                   0	            0.501210	            0.015969	            0.265329	
               FRTT6	            0.421915	            0.068346	            0.781220	            0.235854	            0.421915	            0.068346	            0.781220	            0.235854	            0.890411	            0.500981	            0.015986	            0.164880	
               FSTT1	            0.457606	            0.099594	            0.690525	            0.064072	            0.457606	            0.099594	            0.690525	            0.064072	                   0	            0.747792	            0.015988	            0.068942	
               FSTT2	            0.176653	            0.070067	            0.414469	            0.055312	            0.176653	            0.070067	            0.414469	            0.055312	                   0	            0.720733	            0.015971	            0.049544	
               FSTT3	            0.194532	            0.113787	            0.545238	            0.198586	            0.194532	            0.113787	            0.545238	            0.198586	                   0	            0.495552	            0.015950	            0.165218	
               FSTT4	            0.480653	            0.079910	            0.864900	            0.140168	            0.480653	            0.079910	            0.864900	            0.140168	                   0	            0.527765	            0.015973	            0.096201	
               FSTT5	            0.402782	            0.082128	            0.660242	            0.133707	            0.402782	            0.082128	            0.660242	            0.133707	                   0	            0.687532	            0.015987	            0.100875	
               FSTT6	            0.471367	            0.177473	            0.515473	            0.227043	            0.471367	            0.177473	            0.515473	            0.227043	                   0	            0.487291	            0.015959	            0.424869	
               FLFT1	            0.469608	            0.162333	            0.439295	            0.124416	            0.469608	            0.162333	            0.439295	            0.124416	                   0	            0.438718	            0.015999	            0.166142	
               FLFT2	            0.472595	            0.072629	            0.426193	            0.081007	            0.472595	            0.072629	            0.426193	            0.081007	                   0	            0.695543	            0.015956	            0.075526	
               FLFT3	            0.404765	            0.105372	            0.567244	            0.180178	            0.404765	            0.105372	            0.567244	            0.180178	                   0	            0.467120	            0.015967	            0.183845	
               FLFT4	            0.346877	            0.102986	            0.548955	            0.103551	            0.346877	            0.102986	            0.548955	            0.103551	                   0	            0.577627	            0.015952	            0.500057	
               FLFT5	            0.381824	            0.080245	            0.507198	            0.433276	            0.381824	            0.080245	            0.507198	            0.433276	                   0	            0.455711	            0.015975	            0.277847	
               FLFT6	            0.440443	            0.063823	            0.647892	            0.046915	            0.440443	            0.063823	            0.647892	            0.046915	                   0	            0.653059	            0.015951	            0.050457	
                  ZU	            0.577574	            0.278288	            0.696419	            0.217954	            0.577574	            0.278288	            0.696419	            0.217954	                   0	            0.935390	            1.000000	            0.854654	
